"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1",1,"Josh Allen",BUF,"22.6","18.1","28.4","64%","219.5","1.6","0.4","6.0","31.2","0.7","0.8"
"2",1,"Lamar Jackson",BAL,"25.6","18.6","27.9","67%","245.4","2.4","0.2","8.2","53.8","0.2","1.4"
"3",1,"Jayden Daniels",WAS,"21.5","19.5","28.2","69%","209.9","1.5","0.5","8.7","52.4","0.4","2.8"
"4",1,"Jalen Hurts",PHI,"21.3","16.5","24.1","69%","193.5","1.2","0.3","10.0","42.0","0.9","2.5"
"5",2,"Joe Burrow",CIN,"22.5","27.1","38.4","71%","289.3","2.5","0.5","2.5","11.8","0.1","2.8"
"6",2,"Patrick Mahomes II",KC,"18.4","24.5","36.3","67%","245.5","1.6","0.7","3.6","19.2","0.1","2.3"
"7",2,"Baker Mayfield",TB,"22.5","23.9","33.5","71%","264.7","2.4","0.9","3.5","22.2","0.2","2.4"
"8",3,"Bo Nix",DEN,"19.4","22.1","33.4","66%","222.1","1.7","0.7","5.4","25.3","0.2","1.4"
"9",3,"Kyler Murray",ARI,"18.1","21.9","31.8","69%","226.5","1.2","0.6","4.6","33.6","0.3","1.8"
"10",3,"Dak Prescott",DAL,"15.6","23.1","35.8","65%","247.3","1.4","1.0","1.6","6.8","0.1","2.6"
"11",3,"Brock Purdy",SF,"18.6","20.0","30.3","66%","257.6","1.3","0.8","4.4","21.5","0.3","2.1"
"12",3,"Justin Fields",NYJ,"12.0","10.6","16.1","66%","110.6","0.5","0.1","6.2","28.9","0.5","1.6"
"13",3,"Justin Herbert",LAC,"17.0","19.5","29.6","66%","227.6","1.4","0.2","4.1","18.0","0.1","2.4"
"14",4,"Caleb Williams",CHI,"15.3","20.6","33.1","62%","208.3","1.2","0.4","4.8","28.8","0.0","4.0"
"15",4,"Jared Goff",DET,"19.8","22.9","31.7","72%","272.3","2.2","0.7","2.1","3.3","0.0","1.8"
"16",4,"Drake Maye",NE,"14.4","17.3","26.0","67%","175.1","1.2","0.8","4.2","32.4","0.2","2.6"
"17",4,"Jordan Love",GB,"16.3","17.9","28.3","63%","225.9","1.7","0.7","1.7","5.5","0.1","0.9"
"18",4,"Trevor Lawrence",JAC,"15.2","17.2","28.4","61%","204.5","1.1","0.7","2.6","11.9","0.3","1.8"
"19",4,"J.J. McCarthy",MIN,"0","0","0","0","0","0","0","0","0","0","0"
"20",4,"C.J. Stroud",HOU,"13.7","19.8","31.3","63%","219.2","1.2","0.7","3.1","13.7","0.0","3.1"
"21",4,"Tua Tagovailoa",MIA,"17.1","26.5","36.3","73%","260.6","1.7","0.6","1.5","4.5","0.0","1.9"
"22",5,"Bryce Young",CAR,"14.6","16.7","27.4","61%","171.6","1.1","0.6","3.1","17.8","0.4","2.1"
"23",5,"Michael Penix Jr.",ATL,"9.4","12.2","21.0","58%","155.0","0.6","0.6","1.4","2.2","0.2","0.8"
"24",5,"Matthew Stafford",LAR,"13.9","21.3","32.3","66%","235.1","1.3","0.5","1.9","2.6","0.0","1.8"
"25",5,"Geno Smith",LV,"16.5","23.9","34.0","70%","254.1","1.2","0.9","3.1","16.0","0.1","2.9"
"26",5,"Cameron Ward",TEN,"0","0","0","0","0","0","0","0","0","0","0"
"27",5,"Sam Darnold",SEA,"18.8","21.2","32.1","66%","254.1","2.1","0.7","3.9","12.5","0.1","2.8"
"28",5,"Aaron Rodgers",PIT,"15.7","21.6","34.4","63%","229.2","1.6","0.6","1.3","6.3","0.0","2.4"
"29",5,"Anthony Richardson Sr.",IND,"15.9","11.5","24.0","48%","164.9","0.7","1.1","7.8","45.4","0.5","1.3"
"30",5,"Russell Wilson",NYG,"16.2","19.5","30.5","64%","225.6","1.5","0.5","3.9","14.1","0.2","3.0"
"31",5,"Daniel Jones",IND,"14.2","21.6","34.1","63%","207.0","0.8","0.7","6.7","26.5","0.2","2.9"
"32",5,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0","0","0"
"33",5,"Joe Flacco",CLE,"15.1","23.1","35.4","65%","251.6","1.7","1.0","1.3","3.7","0.0","2.6"
