"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Brock Bowers",LV,"15.5","9.0","6.6","70.2","0.3","0.3","0.8","0.0"
"2",1,"Trey McBride",ARI,"15.6","9.2","6.9","71.6","0.1","0.1","0.1","0.1"
"3",1,"George Kittle",SF,"15.8","6.3","5.2","73.7","0.5","0.0","0.0","0.0"
"4",2,"T.J. Hockenson",MIN,"8.7","6.2","4.1","45.5","0.0","0.0","0.0","0.0"
"5",2,"Travis Kelce",KC,"12.2","8.3","6.1","51.4","0.2","0.1","0.1","0.0"
"6",2,"Sam LaPorta",DET,"10.9","5.2","3.8","45.4","0.4","0.0","0.0","0.0"
"7",2,"Evan Engram",DEN,"9.9","7.1","5.2","40.6","0.1","0.0","0.0","0.0"
"8",2,"David Njoku",CLE,"13.5","8.8","5.8","45.9","0.5","0.0","0.0","0.0"
"9",2,"Mark Andrews",BAL,"11.1","4.1","3.2","39.6","0.6","0.2","0.3","0.0"
"10",3,"Tucker Kraft",GB,"9.6","4.1","2.9","41.6","0.4","0.2","0.4","0.0"
"11",3,"Jake Ferguson",DAL,"7.5","6.1","4.2","35.3","0.0","0.0","0.0","0.0"
"12",3,"Tyler Warren",IND,"0","0","0","0","0","0","0","0"
"13",3,"Dalton Kincaid",BUF,"7.8","5.8","3.4","34.5","0.2","0.0","0.0","0.0"
"14",3,"Dallas Goedert",PHI,"10.4","5.2","4.2","49.6","0.2","0.0","0.0","0.0"
"15",3,"Colston Loveland",CHI,"0","0","0","0","0","0","0","0"
"16",3,"Hunter Henry",NE,"9.1","6.1","4.1","42.1","0.1","0.0","0.0","0.0"
"17",4,"Kyle Pitts Sr.",ATL,"7.7","4.4","2.8","35.4","0.2","0.0","0.0","0.0"
"18",4,"Jonnu Smith",PIT,"13.1","6.5","5.2","52.0","0.5","0.1","-0.1","0.0"
"19",4,"Zach Ertz",WAS,"10.4","5.4","3.9","38.5","0.4","0.0","0.0","0.0"
"20",4,"Brenton Strange",JAC,"5.4","3.1","2.4","24.2","0.1","0.0","0.0","0.0"
"21",4,"Chig Okonkwo",TEN,"6.7","4.1","3.1","28.2","0.1","0.1","1.0","0.0"
"22",4,"Mike Gesicki",CIN,"8.3","4.9","3.8","39.1","0.1","0.0","0.0","0.0"
"23",4,"Pat Freiermuth",PIT,"9.9","4.6","3.8","38.4","0.4","0.0","0.0","0.0"
"24",4,"Isaiah Likely",BAL,"7.7","3.6","2.6","29.8","0.4","0.0","0.0","0.0"
"25",4,"Cade Otton",TB,"10.0","6.2","4.2","42.9","0.3","0.1","-0.3","0.0"
"26",4,"Mason Taylor",NYJ,"0","0","0","0","0","0","0","0"
