"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Ja'Marr Chase",CIN,"23.7","10.3","7.5","100.5","1.0","0.2","1.9","0.0"
"2",1,"CeeDee Lamb",DAL,"17.6","10.1","6.7","79.6","0.4","0.9","4.7","0.0"
"3",1,"Justin Jefferson",MIN,"18.7","9.1","6.1","90.2","0.6","0.1","0.2","0.0"
"4",2,"Malik Nabers",NYG,"18.2","11.3","7.3","80.3","0.5","0.3","0.1","0.0"
"5",2,"Amon-Ra St. Brown",DET,"18.6","8.3","6.8","74.3","0.7","0.1","0.4","0.0"
"6",2,"Puka Nacua",LAR,"18.8","9.6","7.2","90.0","0.3","1.0","4.2","0.1"
"7",2,"Nico Collins",HOU,"17.6","8.3","5.7","83.8","0.6","0.0","0.0","0.0"
"8",2,"Brian Thomas Jr.",JAC,"16.7","7.8","5.1","75.4","0.6","0.4","2.8","0.0"
"9",2,"Drake London",ATL,"16.5","9.3","5.9","74.8","0.5","0.1","-0.2","0.0"
"10",3,"A.J. Brown",PHI,"16.7","7.5","5.2","83.0","0.5","0.0","0.0","0.0"
"11",3,"Ladd McConkey",LAC,"15.1","7.0","5.1","71.8","0.4","0.0","0.0","0.0"
"12",3,"Jaxon Smith-Njigba",SEA,"14.9","8.1","5.9","66.5","0.4","0.3","1.5","0.0"
"13",3,"Garrett Wilson",NYJ,"14.8","9.1","5.9","64.9","0.4","0.1","0.3","0.0"
"14",3,"Tee Higgins",CIN,"18.5","9.1","6.1","75.9","0.8","0.0","0.0","0.0"
"15",3,"Tyreek Hill",MIA,"12.8","7.2","4.8","56.4","0.4","0.5","3.1","0.0"
"16",3,"Davante Adams",LAR,"17.2","10.1","6.1","75.9","0.6","0.0","0.0","0.0"
"17",4,"Mike Evans",TB,"17.2","7.9","5.3","71.7","0.8","0.0","0.0","0.0"
"18",4,"Marvin Harrison Jr.",ARI,"11.6","6.8","3.6","52.1","0.5","0.0","0.0","0.0"
"19",4,"Terry McLaurin",WAS,"15.8","6.9","4.8","64.5","0.8","0.1","0.1","0.0"
"20",4,"DJ Moore",CHI,"14.0","8.2","5.8","56.8","0.4","0.8","4.4","0.0"
"21",4,"DK Metcalf",PIT,"12.7","7.2","4.4","66.1","0.3","0.0","0.0","0.0"
"22",4,"Courtland Sutton",DEN,"14.1","7.9","4.8","63.6","0.5","0.0","0.0","0.0"
"23",4,"Tetairoa McMillan",CAR,"0","0","0","0","0","0","0","0"
"24",4,"DeVonta Smith",PHI,"15.3","6.8","5.2","64.1","0.6","0.1","0.1","0.0"
"25",5,"Zay Flowers",BAL,"12.3","6.8","4.4","62.3","0.2","0.5","3.3","0.0"
"26",5,"Xavier Worthy",KC,"11.0","5.8","3.5","37.5","0.4","1.2","6.1","0.2"
"27",5,"Rashee Rice",KC,"16.2","7.3","6.0","72.0","0.5","0.3","0.3","0.0"
"28",5,"Jameson Williams",DET,"14.1","6.1","3.9","66.7","0.5","0.7","4.1","0.1"
"29",5,"Jaylen Waddle",MIA,"9.3","5.2","3.6","46.5","0.1","0.3","0.8","0.0"
"30",5,"George Pickens",DAL,"11.7","7.4","4.2","64.3","0.2","0.1","-0.4","0.0"
"31",5,"Calvin Ridley",TEN,"11.7","7.1","3.8","59.8","0.2","0.5","3.2","0.1"
"32",5,"Chris Olave",NO,"9.6","5.5","4.0","50.0","0.1","0.1","0.9","0.0"
"33",5,"Travis Hunter",JAC,"0","0","0","0","0","0","0","0"
"34",5,"Jerry Jeudy",CLE,"14.2","8.5","5.3","72.3","0.2","0.0","0.0","0.0"
"35",5,"Stefon Diggs",NE,"15.2","8.0","5.9","62.0","0.4","0.4","1.0","0.1"
"36",5,"Jakobi Meyers",LV,"14.5","8.6","5.8","68.5","0.3","0.1","1.5","0.0"
"37",5,"Rome Odunze",CHI,"8.5","5.9","3.2","43.2","0.2","0.2","0.9","0.0"
"38",6,"Jauan Jennings",SF,"14.0","7.5","5.1","65.0","0.4","0.0","0.0","0.0"
"39",6,"Chris Godwin",TB,"19.7","8.9","7.1","82.3","0.7","0.1","0.3","0.0"
"40",6,"Ricky Pearsall",SF,"8.5","4.2","2.8","36.4","0.3","0.3","4.1","0.0"
"41",6,"Khalil Shakir",BUF,"12.2","6.7","5.1","54.7","0.3","0.1","0.3","0.0"
"42",6,"Jordan Addison",MIN,"14.2","6.6","4.2","58.3","0.6","0.2","1.3","0.1"
"43",6,"Josh Downs",IND,"13.1","7.6","5.1","57.4","0.4","0.1","0.9","0.0"
"44",6,"Deebo Samuel Sr.",WAS,"10.2","5.4","3.4","44.7","0.2","2.8","9.1","0.1"
"45",6,"Emeka Egbuka",TB,"0","0","0","0","0","0","0","0"
"46",6,"Michael Pittman Jr.",IND,"10.4","6.9","4.3","50.5","0.2","0.0","0.0","0.0"
"47",6,"Cooper Kupp",SEA,"14.6","8.3","5.6","59.2","0.5","0.2","0.8","0.0"
"48",6,"Jayden Reed",GB,"11.6","4.4","3.2","50.4","0.4","1.2","9.6","0.1"
"49",6,"Matthew Golden",GB,"0","0","0","0","0","0","0","0"
"50",6,"Darnell Mooney",ATL,"12.1","6.6","4.0","62.0","0.3","0.0","0.0","0.0"
"51",7,"Rashid Shaheed",NO,"13.3","6.8","3.3","58.2","0.5","1.0","4.8","0.0"
"52",7,"Brandon Aiyuk",SF,"8.9","6.7","3.6","53.4","0.0","0.0","0.0","0.0"
"53",7,"Keon Coleman",BUF,"8.6","4.4","2.2","42.8","0.3","0.1","0.7","0.0"
"54",7,"Christian Kirk",HOU,"8.9","5.9","3.4","47.4","0.1","0.0","0.0","0.0"
"55",7,"Cedric Tillman",CLE,"7.3","4.5","2.6","30.8","0.3","0.1","-0.5","0.0"
"56",7,"Luther Burden III",CHI,"0","0","0","0","0","0","0","0"
"57",7,"Rashod Bateman",BAL,"10.3","4.2","2.6","44.5","0.5","0.0","0.0","0.0"
"58",7,"Jayden Higgins",HOU,"0","0","0","0","0","0","0","0"
"59",7,"Marvin Mims Jr.",DEN,"7.6","3.1","2.3","29.6","0.4","0.8","2.5","0.0"
"60",7,"Wan'Dale Robinson",NYG,"10.7","8.2","5.5","41.1","0.2","0.2","1.1","0.0"
"61",7,"Marquise Brown",KC,"9.1","7.5","4.5","45.5","0.0","0.0","0.0","0.0"
"62",7,"Romeo Doubs",GB,"10.2","5.5","3.5","46.2","0.3","0.0","0.0","0.0"
"63",7,"Adam Thielen",CAR,"13.9","6.2","4.8","61.5","0.5","0.0","0.0","0.0"
"64",7,"DeMario Douglas",NE,"8.7","5.1","3.9","36.5","0.2","0.2","0.9","0.0"
"65",7,"Tre' Harris",LAC,"0","0","0","0","0","0","0","0"
"66",7,"Kyle Williams",NE,"0","0","0","0","0","0","0","0"
"67",7,"Keenan Allen",LAC,"12.4","8.1","4.7","49.6","0.5","0.0","0.0","0.0"
"68",7,"Xavier Legette",CAR,"7.8","5.3","3.1","31.1","0.3","0.4","1.5","0.0"
"69",7,"Joshua Palmer",BUF,"7.2","4.3","2.6","38.9","0.1","0.0","0.0","0.0"
"70",7,"Quentin Johnston",LAC,"11.6","6.1","3.7","47.4","0.5","0.2","0.4","0.0"
"71",7,"Jalen McMillan",TB,"10.4","4.5","2.8","35.5","0.6","0.3","3.3","0.0"
"72",8,"DeAndre Hopkins",BAL,"9.2","5.0","3.5","38.1","0.3","0.0","0.0","0.0"
"73",8,"Jalen Coker",CAR,"8.4","4.2","2.9","43.5","0.2","0.0","0.0","0.0"
"74",8,"Alec Pierce",IND,"10.1","4.3","2.3","51.5","0.4","0.0","0.0","0.0"
"75",8,"Jack Bech",LV,"0","0","0","0","0","0","0","0"
"76",8,"Michael Wilson",ARI,"7.8","4.4","2.9","34.3","0.3","0.1","0.4","0.0"
"77",8,"Darius Slayton",NYG,"6.9","4.4","2.4","35.8","0.1","0.1","1.1","0.0"
"78",8,"Adonai Mitchell",IND,"3.2","3.2","1.4","18.4","0.0","0.2","0.4","0.0"
"79",8,"Tyler Lockett",TEN,"7.1","4.4","2.9","35.3","0.1","0.0","0.0","0.0"
"80",8,"Jaylin Noel",HOU,"0","0","0","0","0","0","0","0"
"81",8,"Dontayvion Wicks",GB,"6.5","4.5","2.3","24.4","0.3","0.0","0.0","0.0"
"82",8,"Andrei Iosivas",CIN,"7.1","3.6","2.1","28.2","0.4","0.0","0.0","0.0"
"83",8,"Calvin Austin III",PIT,"7.0","3.4","2.1","32.2","0.2","0.0","0.0","0.0"
"84",8,"Elic Ayomanor",TEN,"0","0","0","0","0","0","0","0"
"85",8,"Diontae Johnson",CLE,"8.1","6.1","3.0","34.1","0.3","0.2","0.5","0.0"
"86",8,"Dyami Brown",JAC,"4.5","2.7","2.0","20.5","0.1","0.2","1.7","0.0"
"87",8,"Pat Bryant",DEN,"0","0","0","0","0","0","0","0"
"88",8,"Devaughn Vele",DEN,"8.2","4.2","3.2","36.5","0.2","0.0","0.0","0.0"
"89",8,"Jalen Royals",KC,"0","0","0","0","0","0","0","0"
"90",8,"Brandin Cooks",NO,"7.0","5.4","2.6","25.9","0.3","0.3","-0.3","0.0"
"91",8,"Jalen Tolbert",DAL,"8.9","4.6","2.9","35.9","0.4","0.0","0.0","0.0"
"92",8,"Roman Wilson",PIT,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"93",8,"Elijah Moore",BUF,"7.1","6.0","3.6","31.6","0.1","0.1","0.1","0.0"
"94",8,"Malik Washington",MIA,"3.9","2.6","1.9","15.9","0.0","0.4","1.8","0.1"
"95",9,"Nick Westbrook-Ikhine",MIA,"9.7","4.3","2.3","35.5","0.6","0.0","0.0","0.0"
"96",9,"Kayshon Boutte",NE,"8.1","4.5","2.9","39.3","0.2","0.0","0.0","0.0"
"97",9,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0"
"98",9,"Tory Horton",SEA,"0","0","0","0","0","0","0","0"
"99",9,"Tre Tucker",LV,"7.6","4.8","2.8","31.7","0.2","0.5","2.6","0.1"
"100",9,"Parker Washington",JAC,"5.7","3.0","1.9","22.9","0.2","0.0","0.0","0.0"
"101",9,"Jalen Nailor",MIN,"6.1","2.5","1.6","24.4","0.4","0.2","-0.2","0.0"
"102",9,"Tim Patrick",DET,"5.8","2.8","2.1","24.6","0.2","0.0","0.0","0.0"
"103",9,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0"
"104",9,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0"
"105",9,"Luke McCaffrey",WAS,"2.0","1.4","1.1","9.9","0.0","0.0","0.0","0.0"
"106",9,"Amari Cooper",FA,"9.4","6.5","3.4","42.1","0.3","0.0","0.0","0.0"
"107",9,"Jermaine Burton",CIN,"1.1","1.0","0.3","7.6","0.0","0.0","0.0","0.0"
"108",9,"Christian Watson",GB,"7.0","3.5","1.9","41.3","0.1","0.3","1.5","0.0"
"109",9,"Tez Johnson",TB,"0","0","0","0","0","0","0","0"
"110",9,"Gabe Davis",FA,"5.4","4.2","2.0","23.9","0.2","0.0","0.0","0.0"
"111",9,"Tutu Atwell",LAR,"5.8","3.6","2.5","33.1","0.0","0.1","0.4","0.0"
"112",9,"Ray-Ray McCloud III",ATL,"8.3","5.1","3.6","40.4","0.1","0.6","4.6","0.0"
"113",10,"Jordan Whittington",LAR,"3.5","1.9","1.5","19.5","0.0","0.1","0.8","0.0"
"114",10,"Josh Reynolds",NYJ,"4.8","3.0","1.6","24.3","0.1","0.0","0.0","0.0"
"115",10,"KaVontae Turpin",DAL,"6.1","3.1","1.8","24.7","0.1","0.9","5.4","0.0"
"116",10,"Noah Brown",WAS,"7.8","5.1","3.2","41.2","0.1","0.0","0.0","0.0"
"117",10,"Tai Felton",MIN,"0","0","0","0","0","0","0","0"
"118",10,"Demarcus Robinson",SF,"7.3","3.8","1.8","29.7","0.4","0.0","0.0","0.0"
"119",10,"Troy Franklin",DEN,"4.2","3.3","1.8","16.4","0.1","0.1","0.5","0.0"
"120",10,"Marquez Valdes-Scantling",SEA,"6.5","3.4","1.5","31.6","0.3","0.1","0.3","0.0"
"121",10,"John Metchie III",HOU,"4.3","2.8","1.8","19.5","0.1","0.0","0.0","0.0"
"122",10,"Savion Williams",GB,"0","0","0","0","0","0","0","0"
"123",10,"Curtis Samuel",BUF,"4.5","3.3","2.2","18.1","0.1","0.4","1.0","0.0"
"124",10,"Chimere Dike",TEN,"0","0","0","0","0","0","0","0"
"125",10,"Jaylin Lane",WAS,"0","0","0","0","0","0","0","0"
"126",10,"KeAndre Lambert-Smith",LAC,"0","0","0","0","0","0","0","0"
"127",10,"Mack Hollins",NE,"5.8","2.9","1.8","22.2","0.3","0.0","0.0","0.0"
"128",10,"Hunter Renfrow",CAR,"0","0","0","0","0","0","0","0"
"129",10,"Allen Lazard",NYJ,"10.5","5.0","3.1","44.2","0.5","0.0","0.0","0.0"
"130",10,"Greg Dortch",ARI,"5.3","2.9","2.2","20.1","0.2","0.3","1.8","0.0"
"131",10,"Jacob Cowing",SF,"0.7","0.4","0.3","5.3","0.0","0.1","0.5","0.0"
"132",10,"Van Jefferson",TEN,"4.2","2.7","1.6","18.4","0.1","0.0","0.0","0.0"
"133",10,"Tank Dell",HOU,"10.0","5.8","3.6","47.6","0.2","0.6","3.1","0.0"
"134",10,"Isaiah Bond",CLE,"0","0","0","0","0","0","0","0"
"135",10,"Zay Jones",ARI,"1.5","1.0","0.7","7.6","0.0","0.0","0.0","0.0"
"136",10,"Olamide Zaccheaus",CHI,"6.6","3.8","2.6","29.8","0.2","0.1","0.5","0.0"
"137",10,"Jahan Dotson",PHI,"2.5","1.9","1.1","12.7","0.0","0.1","0.8","0.0"
"138",10,"Kendrick Bourne",NE,"5.4","3.2","2.3","25.4","0.1","0.1","0.5","0.0"
"139",11,"Antwane Wells Jr.",NYG,"0","0","0","0","0","0","0","0"
"140",11,"Theo Wease Jr.",MIA,"0","0","0","0","0","0","0","0"
"141",11,"Jonathan Mingo",DAL,"2.0","2.6","1.1","10.4","0.0","0.1","0.3","0.0"
"142",11,"Jalin Hyatt",NYG,"0.9","1.2","0.5","3.9","0.0","0.0","0.0","0.0"
"143",11,"Robert Woods",PIT,"2.7","2.1","1.4","14.5","0.0","0.0","0.0","0.0"
"144",11,"JuJu Smith-Schuster",KC,"3.8","1.9","1.3","16.5","0.1","0.0","0.0","0.0"
"145",11,"Ja'Lynn Polk",NE,"2.2","2.2","0.8","5.8","0.1","0.1","0.0","0.0"
"146",11,"Arian Smith",NYJ,"0","0","0","0","0","0","0","0"
"147",11,"Malachi Corley",NYJ,"0.7","0.9","0.4","2.3","0.0","0.3","3.7","0.0"
"148",11,"Jordan Watkins",SF,"0","0","0","0","0","0","0","0"
"149",11,"Devontez Walker",BAL,"1.3","0.4","0.1","3.0","0.1","0.0","0.0","0.0"
"150",11,"Javon Baker",NE,"0.2","0.4","0.1","1.2","0.0","0.0","0.0","0.0"
"151",11,"KhaDarel Hodge",ATL,"2.0","0.8","0.4","8.2","0.1","0.0","0.0","0.0"
"152",11,"Kalif Raymond",DET,"4.7","1.8","1.4","17.9","0.2","0.2","0.0","0.0"
"153",11,"Jamari Thrash",CLE,"0.6","0.8","0.3","2.4","0.0","0.0","0.0","0.0"
"154",11,"Tyler Johnson",NYJ,"5.6","3.7","2.4","26.5","0.1","0.0","0.0","0.0"
"155",11,"Jake Bobo",SEA,"1.7","1.0","0.8","6.3","0.1","0.0","0.0","0.0"
"156",11,"Efton Chism III",NE,"0","0","0","0","0","0","0","0"
"157",11,"Michael Gallup",WAS,"0","0","0","0","0","0","0","0"
"158",11,"Jimmy Horn Jr.",CAR,"0","0","0","0","0","0","0","0"
"159",11,"K.J. Osborn",WAS,"2.7","2.6","1.0","8.1","0.1","0.0","0.0","0.0"
"160",11,"Treylon Burks",TEN,"1.5","1.6","0.8","6.8","0.0","0.4","0.2","0.0"
"161",11,"David Bell",CLE,"5.7","3.0","3.0","27.0","0.0","0.0","0.0","0.0"
"162",11,"DJ Chark Jr.",ATL,"3.3","2.5","1.0","7.8","0.3","0.0","0.0","0.0"
"163",11,"Casey Washington",ATL,"1.2","1.0","0.5","7.0","0.0","0.0","0.0","0.0"
"164",12,"Tyquan Thornton",KC,"2.2","2.0","1.0","11.8","0.0","0.0","0.0","0.0"
"165",12,"Bub Means",NO,"3.8","2.1","1.3","16.9","0.1","0.0","0.0","0.0"
"166",12,"Cedrick Wilson Jr.",NO,"3.3","1.8","1.3","14.1","0.1","0.0","0.0","0.0"
"167",12,"Konata Mumpfield",LAR,"0","0","0","0","0","0","0","0"
"168",12,"Mecole Hardman Jr.",GB,"2.8","1.2","1.0","7.5","0.0","0.4","5.2","0.1"
"169",12,"Johnny Wilson",PHI,"0.9","0.9","0.3","2.4","0.1","0.0","0.0","0.0"
"170",12,"Lucky Jackson",MIN,"0","0","0","0","0","0","0","0"
"171",12,"Ricky White III",SEA,"0","0","0","0","0","0","0","0"
"172",12,"DeAndre Carter",CLE,"1.1","1.1","0.7","5.5","0.0","0.0","0.0","0.0"
"173",12,"Nick Nash",ATL,"0","0","0","0","0","0","0","0"
"174",12,"David Moore",CAR,"5.0","3.4","1.9","20.6","0.2","0.1","0.0","0.0"
"175",12,"Kaden Prather",BUF,"0","0","0","0","0","0","0","0"
"176",12,"Julian Fleming",FA,"0","0","0","0","0","0","0","0"
"177",12,"Sterling Shepard",TB,"5.7","3.6","2.3","23.9","0.1","0.6","4.9","0.0"
"178",12,"Xavier Hutchinson",HOU,"1.5","1.6","0.8","7.3","0.0","0.0","0.0","0.0"
"179",12,"Derius Davis",LAC,"2.7","1.1","0.9","7.5","0.1","0.8","2.6","0.0"
"180",12,"Ainias Smith",PHI,"2.5","1.3","1.0","5.9","0.1","0.3","0.9","0.0"
"181",12,"Chris Blair",ATL,"0.9","0.7","0.3","5.7","0.0","0.0","0.0","0.0"
"182",12,"Brennan Eagles",FA,"0","0","0","0","0","0","0","0"
"183",12,"Velus Jones Jr.",NO,"0.5","0.5","0.5","4.0","0.0","1.5","5.5","0.0"
"184",12,"Tylan Wallace",BAL,"2.1","0.7","0.6","11.4","0.1","0.0","0.0","0.0"
"185",12,"Tim Jones",MIN,"0.9","0.6","0.4","5.1","0.0","0.0","0.0","0.0"
