Rank,Player,Team,Bye,POS,Tier,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,FPTS
1,Ja'Marr Chase,CIN,10,WR,1,1.0,1.0,1,1.0,1.0,1.0,1.0,351.8
2,Bijan Robinson,ATL,5,RB,1,2.0,3.0,4,2.0,2.0,2.0,2.5,320.2
3,Saquon Barkley,PHI,9,RB,2,3.0,2.0,2,4.0,3.0,5.0,3.2,315.1
4,Justin Jefferson,MIN,6,WR,1,4.0,4.0,5,6.0,5.0,3.0,4.5,311.1
5,Jahmyr Gibbs,DET,8,RB,2,5.0,5.0,6,3.0,4.0,4.0,4.5,316.6
6,CeeDee Lamb,DAL,10,WR,1,6.0,6.0,3,5.0,6.0,6.0,5.3,304.7
7,Christian McCaffrey,SF,14,RB,2,7.0,12.0,11,7.0,8.0,8.0,8.8,293.4
8,Puka Nacua,LAR,8,WR,2,8.0,9.0,7,12.0,14.0,7.0,9.5,291.3
9,Amon-Ra St. Brown,DET,8,WR,2,9.0,7.0,8,10.0,13.0,11.0,9.7,289.7
10,Malik Nabers,NYG,14,WR,2,10.0,10.0,10,8.0,11.0,9.0,9.7,290.3
11,Derrick Henry,BAL,7,RB,4,13.0,8.0,9,13.0,7.0,13.0,10.5,264.7
12,Ashton Jeanty,LV,8,RB,3,11.0,11.0,12,9.0,10.0,10.0,10.5,263.7
13,De'Von Achane,MIA,12,RB,3,12.0,14.0,13,11.0,9.0,15.0,12.3,292.6
14,Nico Collins,HOU,6,WR,2,14.0,13.0,16,14.0,16.0,12.0,14.2,275.5
15,Brian Thomas Jr.,JAC,8,WR,2,15.0,15.0,14,16.0,18.0,14.0,15.5,273.9
16,Josh Jacobs,GB,5,RB,5,18.0,19.0,18,15.0,12.0,21.0,17.2,264.2
17,A.J. Brown,PHI,9,WR,3,16.0,18.0,15,23.0,26.0,18.0,19.3,257.5
18,Brock Bowers,LV,8,TE,3,19.0,16.0,19,21.0,23.0,17.0,19.3,255.7
19,Drake London,ATL,5,WR,2,21.0,17.0,20,20.0,25.0,16.0,19.8,265.4
20,Jonathan Taylor,IND,11,RB,5,17.0,23.0,22,19.0,21.0,19.0,20.2,243.1
21,Josh Allen,BUF,7,QB,4,20.0,20.0,21,25.0,17.0,24.0,21.2,376.7
22,Lamar Jackson,BAL,7,QB,4,22.0,22.0,17,24.0,15.0,28.0,21.3,375.6
23,Bucky Irving,TB,9,RB,5,23.0,21.0,25,18.0,20.0,22.0,21.5,246.9
24,Kyren Williams,LAR,8,RB,6,31.0,27.0,24,22.0,19.0,27.0,24.8,246.7
25,Chase Brown,CIN,10,RB,4,25.0,28.0,34,17.0,22.0,30.0,26.0,250.2
26,Ladd McConkey,LAC,12,WR,3,30.0,24.0,23,30.0,29.0,20.0,26.0,254.5
27,Trey McBride,ARI,8,TE,3,24.0,26.0,26,28.0,36.0,23.0,27.3,243.9
28,Tee Higgins,CIN,10,WR,4,26.0,30.0,31,35.0,31.0,26.0,30.0,247.6
29,Tyreek Hill,MIA,12,WR,4,29.0,25.0,36,27.0,37.0,29.0,30.3,262.1
30,Jayden Daniels,WAS,12,QB,5,27.0,32.0,27,34.0,32.0,35.0,31.0,355.8
31,James Cook,BUF,7,RB,8,33.0,33.0,28,31.0,28.0,34.0,31.2,227.5
32,Jaxon Smith-Njigba,SEA,8,WR,3,36.0,29.0,39,33.0,40.0,25.0,33.7,246.8
33,Breece Hall,NYJ,9,RB,7,50.0,34.0,30,26.0,30.0,33.0,33.8,227.8
34,Joe Burrow,CIN,10,QB,8,32.0,40.0,35,36.0,24.0,39.0,34.2,341.6
35,Jalen Hurts,PHI,9,QB,6,28.0,35.0,32,44.0,33.0,42.0,35.7,358.7
36,Alvin Kamara,NO,11,RB,7,38.0,39.0,46,32.0,27.0,43.0,37.5,241.0
37,Garrett Wilson,NYJ,9,WR,4,41.0,31.0,37,39.0,47.0,31.0,37.7,236.2
38,George Kittle,SF,14,TE,5,35.0,37.0,38,40.0,39.0,41.0,38.3,223.6
39,Davante Adams,LAR,8,WR,5,34.0,43.0,42,41.0,35.0,38.0,38.8,244.7
40,Omarion Hampton,LAC,12,RB,8,40.0,41.0,48,29.0,41.0,36.0,39.2,216.2
41,Mike Evans,TB,9,WR,5,42.0,38.0,33,47.0,38.0,37.0,39.2,242.9
42,Kenneth Walker III,SEA,8,RB,7,37.0,44.0,40,37.0,34.0,49.0,40.2,225.5
43,Marvin Harrison Jr.,ARI,8,WR,6,46.0,36.0,41,43.0,45.0,32.0,40.5,234.1
44,Terry McLaurin,WAS,12,WR,6,39.0,42.0,29,49.0,43.0,44.0,41.0,243.2
45,Chuba Hubbard,CAR,14,RB,9,43.0,46.0,53,38.0,44.0,50.0,45.7,212.1
46,DJ Moore,CHI,5,WR,6,54.0,49.0,47,48.0,53.0,40.0,48.5,229.7
47,James Conner,ARI,8,RB,9,49.0,50.0,49,46.0,42.0,55.0,48.5,223.8
48,DK Metcalf,PIT,5,WR,7,45.0,45.0,58,52.0,48.0,52.0,50.0,232.6
49,Patrick Mahomes II,KC,10,QB,10,44.0,52.0,44,61.0,46.0,60.0,51.2,328.9
50,Courtland Sutton,DEN,12,WR,7,59.0,51.0,52,50.0,54.0,48.0,52.3,221.0
51,TreVeyon Henderson,NE,14,RB,10,52.0,62.0,64,42.0,51.0,45.0,52.8,189.2
52,Sam LaPorta,DET,8,TE,11,47.0,48.0,45,66.0,58.0,58.0,53.8,184.2
53,DeVonta Smith,PHI,9,WR,8,61.0,53.0,54,56.0,57.0,47.0,54.7,218.9
54,Xavier Worthy,KC,10,WR,9,48.0,55.0,67,63.0,50.0,46.0,54.8,217.0
55,Rashee Rice,KC,10,WR,10,58.0,47.0,43,62.0,71.0,69.0,58.3,194.1
56,David Montgomery,DET,8,RB,11,60.0,54.0,66,58.0,56.0,62.0,59.3,195.9
57,D'Andre Swift,CHI,5,RB,11,57.0,70.0,60,45.0,52.0,77.0,60.0,203.7
58,Jameson Williams,DET,8,WR,9,67.0,60.0,56,64.0,67.0,51.0,60.8,201.8
59,Zay Flowers,BAL,7,WR,9,55.0,56.0,71,70.0,63.0,54.0,61.5,219.5
60,Tetairoa McMillan,CAR,14,WR,8,73.0,59.0,74,53.0,65.0,53.0,62.8,197.4
61,T.J. Hockenson,MIN,6,TE,10,53.0,57.0,51,74.0,73.0,72.0,63.3,182.8
62,Baker Mayfield,TB,9,QB,11,51.0,67.0,59,73.0,55.0,76.0,63.5,321.6
63,Travis Kelce,KC,10,TE,11,56.0,63.0,57,65.0,61.0,80.0,63.7,187.5
64,Calvin Ridley,TEN,10,WR,9,62.0,72.0,69,57.0,66.0,61.0,64.5,212.0
65,Aaron Jones Sr.,MIN,6,RB,11,72.0,69.0,75,59.0,49.0,65.0,64.8,204.3
66,RJ Harvey,DEN,12,RB,11,75.0,64.0,72,51.0,60.0,67.0,64.8,174.6
67,Isiah Pacheco,KC,10,RB,11,71.0,61.0,62,55.0,68.0,75.0,65.5,177.8
68,George Pickens,DAL,10,WR,9,63.0,58.0,76,69.0,64.0,63.0,65.5,205.7
69,Travis Hunter,JAC,8,WR,11,64.0,66.0,61,72.0,77.0,57.0,66.0,189.6
70,Tony Pollard,TEN,10,RB,11,74.0,76.0,80,54.0,62.0,71.0,69.5,197.4
71,Joe Mixon,HOU,6,RB,14,77.0,65.0,50,67.0,59.0,110.0,71.2,186.6
72,Bo Nix,DEN,12,QB,12,65.0,71.0,65,80.0,69.0,78.0,71.5,308.8
73,Jaylen Waddle,MIA,12,WR,9,68.0,68.0,86,78.0,82.0,56.0,73.0,202.0
74,Mark Andrews,BAL,7,TE,14,69.0,73.0,55,93.0,72.0,88.0,75.0,177.3
75,Jerry Jeudy,CLE,9,WR,11,66.0,74.0,99,68.0,76.0,68.0,75.3,213.7
76,Kaleb Johnson,PIT,5,RB,13,91.0,79.0,81,60.0,75.0,73.0,76.5,165.1
77,Rome Odunze,CHI,5,WR,12,76.0,80.0,91,86.0,95.0,59.0,81.0,184.7
78,Chris Olave,NO,11,WR,10,90.0,75.0,88,76.0,93.0,66.0,81.3,195.0
79,Brian Robinson Jr.,WAS,12,RB,14,92.0,83.0,90,77.0,70.0,83.0,82.2,169.0
80,Deebo Samuel Sr.,WAS,12,WR,15,96.0,84.0,97,81.0,80.0,70.0,84.7,197.3
81,Tyrone Tracy Jr.,NYG,14,RB,13,85.0,88.0,106,71.0,81.0,81.0,85.3,174.5
82,Stefon Diggs,NE,14,WR,12,83.0,89.0,96,79.0,86.0,79.0,85.3,194.1
83,Evan Engram,DEN,12,TE,13,79.0,81.0,77,88.0,94.0,93.0,85.5,152.5
84,Kyler Murray,ARI,8,QB,12,78.0,94.0,82,99.0,78.0,87.0,86.3,319.1
85,Cooper Kupp,SEA,8,WR,15,80.0,85.0,105,83.0,87.0,82.0,87.0,186.6
86,Jakobi Meyers,LV,8,WR,12,82.0,82.0,122,90.0,74.0,74.0,87.3,211.0
87,Jordan Addison,MIN,6,WR,14,98.0,78.0,94,92.0,100.0,64.0,87.7,177.9
88,David Njoku,CLE,9,TE,12,70.0,86.0,84,109.0,79.0,100.0,88.0,177.6
89,Jaylen Warren,PIT,5,RB,13,94.0,96.0,108,75.0,88.0,85.0,91.2,178.7
90,Chris Godwin,TB,9,WR,14,89.0,92.0,87,87.0,83.0,113.0,91.8,194.7
91,Matthew Golden,GB,5,WR,16,86.0,95.0,120,84.0,101.0,92.0,96.5,180.9
92,Quinshon Judkins,CLE,9,RB,19,106.0,77.0,93,98.0,104.0,105.0,97.2,138.0
93,Ricky Pearsall,SF,14,WR,13,104.0,100.0,117,91.0,85.0,91.0,98.0,181.5
