player_id,season,player,pfr_id,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,loaded
00-0036322,2022,Justin Jefferson,JeffJu00,MIN,23.0,WR,17.0,17.0,184.0,128.0,1809.0,8.0,80.0,1185.0,9.3,624.0,4.9,10.1,6.0,21.3,5.0,0.027000000000000003,5.0,104.2,2023-08-28
00-0033040,2022,Tyreek Hill,HillTy00,MIA,28.0,WR,17.0,17.0,170.0,119.0,1710.0,7.0,77.0,1228.0,10.3,482.0,4.1,12.2,5.0,23.8,8.0,0.047,6.0,101.3,2023-08-28
00-0030506,2022,Travis Kelce,KelcTr00,KC,33.0,TE,17.0,17.0,152.0,110.0,1338.0,12.0,78.0,690.0,6.3,648.0,5.9,7.1,13.0,8.5,8.0,0.053,3.0,117.2,2023-08-28
00-0031588,2022,Stefon Diggs,DiggSt00,BUF,29.0,WR,16.0,16.0,154.0,108.0,1429.0,11.0,74.0,1010.0,9.4,419.0,3.9,11.2,2.0,54.0,8.0,0.052000000000000005,1.0,120.3,2023-08-28
00-0033699,2022,Austin Ekeler,EkelAu00,LAC,27.0,RB,17.0,17.0,127.0,107.0,722.0,5.0,36.0,-121.0,-1.1,843.0,7.9,-0.8,11.0,9.7,9.0,0.071,0.0,103.5,2023-08-28
00-0036358,2022,CeeDee Lamb,LambCe00,DAL,23.0,WR,17.0,17.0,156.0,107.0,1359.0,9.0,67.0,873.0,8.2,486.0,4.5,10.1,10.0,10.7,6.0,0.038,4.0,104.1,2023-08-28
00-0036963,2022,Amon-Ra St Brown,StxxAm00,DET,23.0,WR,16.0,16.0,146.0,106.0,1161.0,6.0,68.0,645.0,6.1,516.0,4.9,6.3,7.0,15.1,4.0,0.027000000000000003,1.0,106.6,2023-08-28
00-0033921,2022,Chris Godwin,GodwCh00,TB,26.0,WR,15.0,13.0,142.0,104.0,1023.0,3.0,53.0,496.0,4.8,527.0,5.1,5.7,4.0,26.0,3.0,0.021,1.0,97.2,2023-08-28
00-0031381,2022,Davante Adams,AdamDa01,LV,30.0,WR,17.0,17.0,180.0,100.0,1516.0,14.0,65.0,1023.0,10.2,493.0,4.9,11.8,9.0,11.1,7.0,0.039,6.0,95.5,2023-08-28
00-0036252,2022,Michael Pittman,PittMi01,IND,25.0,WR,16.0,16.0,141.0,99.0,925.0,4.0,51.0,568.0,5.7,357.0,3.6,6.9,4.0,24.8,6.0,0.043,3.0,88.5,2023-08-28
00-0036912,2022,DeVonta Smith,SmitDe07,PHI,24.0,WR,17.0,17.0,136.0,95.0,1196.0,7.0,57.0,706.0,7.4,490.0,5.2,9.6,5.0,19.0,8.0,0.059000000000000004,1.0,111.0,2023-08-28
00-0035640,2022,DK Metcalf,MetcDK00,SEA,25.0,WR,17.0,17.0,141.0,90.0,1048.0,6.0,47.0,831.0,9.2,217.0,2.4,11.2,1.0,90.0,7.0,0.05,4.0,88.6,2023-08-28
00-0035676,2022,AJ Brown,BrowAJ00,PHI,25.0,WR,17.0,16.0,145.0,88.0,1496.0,11.0,59.0,948.0,10.8,548.0,6.2,12.1,7.0,12.6,5.0,0.034,3.0,112.3,2023-08-28
00-0036900,2022,JaMarr Chase,ChasJa00,CIN,22.0,WR,12.0,12.0,134.0,87.0,1046.0,9.0,58.0,608.0,7.0,438.0,5.0,9.0,10.0,8.7,11.0,0.08199999999999999,4.0,98.7,2023-08-28
00-0035229,2022,TJ Hockenson,HockTJ00,2TM,25.0,TE,17.0,14.0,129.0,86.0,914.0,6.0,44.0,511.0,5.9,403.0,4.7,7.5,7.0,12.3,7.0,0.054000000000000006,4.0,89.7,2023-08-28
00-0035216,2022,Diontae Johnson,JohnDi01,PIT,26.0,WR,17.0,17.0,147.0,86.0,882.0,0.0,45.0,647.0,7.5,235.0,2.7,10.2,8.0,10.8,7.0,0.048,6.0,58.8,2023-08-28
